protocolo,instituto,campo,n,contratante,registro_dt,confianca,base
BR042762026,VERITA,2026-05-22..2026-05-26,3330,INSTITUTO VERITA LTDA,2026-05-21,high,muni:abrangencia=nacional
BR029972026,JOTA JORNALISMO,2026-04-20..2026-05-23,6000,JOTA JORNALISMO S/A,2026-05-21,high,plano:universo=brasil
BR029182026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-05-23..2026-05-27,1500,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-05-22,high,muni:abrangencia=nacional
BR048822026,PODERDATA,2026-05-25..2026-05-28,2400,"PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA",2026-05-23,high,muni:abrangencia=nacional
BR058642026,REAL TIME BIG DATA,2026-05-29..2026-05-30,2000,REAL TIME MIDIA LTDA,2026-05-26,high,meto:universo=brasil
BR080162026,#NULO#,2026-06-01..2026-06-03,2100,INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA,2026-05-30,high,plano:universo=brasil
BR017922026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-06-01..2026-06-05,2000,GERP MERCADOLOGIA LTDA,2026-06-03,medium,nacional-marker
BR076612026,#NULO#,2026-06-05..2026-06-08,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-06-04,high,muni:abrangencia=nacional
BR019922026,NUMEN DATA,2026-06-08..2026-06-11,2400,NUMEN DATA PESQUISA E CONSULTORIA LTDA,2026-06-06,medium,nacional-marker
BR066452026,NEXUS,2026-06-12..2026-06-14,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-06-09,medium,nacional-marker
BR014612026,100 CIDADES,2026-06-08..2026-06-12,2000,100% CIDADES PARTICIPACOES LTDA,2026-06-10,high,muni:abrangencia=nacional
BR042562026,#NULO#,2026-06-10..2026-06-14,2002,MDA-PESQUISA DE OPINIAO PUBLICA E CONSULT. ESTATIST. LTDA - EPP,2026-06-10,high,muni:abrangencia=nacional
BR099562026,#NULO#,2026-06-17..2026-06-19,2004,DATAFOLHA INSTITUTO DE PESQUISAS LTDA.,2026-06-13,high,muni:abrangencia=nacional
BR089442026,INDEXA PESQUISAS,2026-06-18..2026-06-20,2000,INSTITUTO INDEXA PESQUISAS LTDA,2026-06-17,high,muni:universo=brasil
